Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0012420000,0.0022260200,0.0031500400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0011420000,0.0020660200,0.0029700400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0011620000,0.0021660200,0.0030300400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0013820000,0.0024860200,0.0034100400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012020000,0.0024060200,0.0033500400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012020000,0.0021260200,0.0031700400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0015020000,0.0023660200,0.0034100400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0013220000,0.0022060200,0.0032500400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012220000,0.0020860200,0.0031100400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012020000,0.0021260200,0.0029700400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
